,0,1,2,3,4
0,3.0,0.0,6.288889,0.86,0.182922
1,2.0,0.0,6.238889,0.86,0.193314
2,2.0,0.0,5.772222,0.92,0.17410799999999998
3,2.0,0.0,5.1,0.93,0.137702
4,1.0,0.0,5.1,0.86,0.13905399999999998
5,0.0,0.0,7.2555559999999995,0.86,0.212535
6,0.0,0.0,11.188889,0.76,0.350526
7,0.0,0.0,13.938889000000001,0.64,0.406904
8,1.0,0.0,15.988889000000002,0.6,0.45536400000000005
9,1.0,0.0,17.25,0.54,0.47285699999999997
10,1.0,0.0,17.777778,0.52,0.480996
11,1.0,0.0,18.833333,0.46,0.48944099999999996
12,1.0,0.0,17.827778,0.49,0.47282799999999997
13,0.0,0.0,18.888889000000002,0.43,0.48079799999999995
14,3.0,0.0,17.827778,0.45,0.460135
15,3.0,0.0,17.172222,0.52,0.46461199999999997
16,3.0,0.0,16.061111,0.56,0.445985
17,3.0,0.0,14.138889,0.62,0.407709
18,3.0,0.0,12.75,0.72,0.390354
19,3.0,0.0,12.25,0.8,0.39249
20,3.0,0.0,11.927778,0.81,0.384289
21,2.0,0.0,11.227778,0.85,0.369731
22,0.0,0.0,10.1,0.92,0.34517800000000004
23,1.0,0.0,10.572222,0.78,0.33497
24,0.0,0.0,8.988889,0.88,0.275985
25,0.0,0.0,7.25,0.86,0.216306
26,1.0,0.0,6.911111,0.93,0.201257
27,1.0,0.0,6.161111,0.93,0.183603
28,2.0,0.0,8.888889,0.83,0.264392
29,2.0,0.0,10.777778,0.81,0.347238
30,1.0,0.0,14.866667000000001,0.67,0.44192700000000007
31,1.0,0.0,17.172222,0.58,0.48295200000000005
32,1.0,0.0,17.683332999999998,0.59,0.500474
33,1.0,0.0,18.961111,0.6,0.5400119999999999
34,2.0,0.0,20.0,0.52,0.5411199999999999
35,2.0,0.0,20.861110999999998,0.52,0.564418
36,2.0,0.0,21.183332999999998,0.48,0.558054
37,1.0,0.0,21.155556,0.42,0.534728
38,1.0,0.0,21.083333,0.44,0.540408
39,1.0,0.0,17.983333,0.55,0.49616000000000005
40,1.0,0.0,14.255556,0.7,0.43137299999999995
41,1.0,0.0,14.311110999999999,0.69,0.430507
42,1.0,0.0,12.85,0.76,0.402565
43,1.0,0.0,12.8,0.73,0.394163
44,1.0,0.0,11.55,0.79,0.368006
45,1.0,0.0,10.277778,0.82,0.332959
46,0.0,0.0,12.222222,0.74,0.37854699999999997
47,2.0,0.0,9.738889,0.88,0.315305
48,1.0,0.0,9.605556,0.85,0.28274099999999996
49,2.0,0.0,9.627778,0.82,0.300833
50,2.0,0.0,8.766667,0.88,0.27960999999999997
51,2.0,0.0,8.905555999999999,0.83,0.261225
52,2.0,0.0,9.905555999999999,0.83,0.297419
53,2.0,0.0,10.972222,0.81,0.353503
54,2.0,0.0,12.85,0.77,0.404852
55,2.0,0.0,15.094444000000001,0.71,0.459445
56,2.0,0.0,17.583333,0.57,0.491384
57,3.0,0.0,18.816667000000002,0.52,0.509104
58,3.0,0.0,18.861110999999998,0.52,0.510306
59,3.0,0.0,18.916667,0.51,0.5084420000000001
60,3.0,0.0,18.905556,0.48,0.49804799999999994
61,3.0,0.0,17.955556,0.51,0.482609
62,2.0,0.0,18.966667,0.52,0.513162
63,2.0,0.0,17.961111,0.59,0.508335
64,2.0,0.0,16.316667000000002,0.61,0.467603
65,1.0,0.0,14.322222,0.71,0.43593999999999994
66,1.0,0.0,13.938889000000001,0.71,0.42427200000000004
67,1.0,0.0,12.272222,0.76,0.384464
68,1.0,0.0,12.066667,0.78,0.38232
69,1.0,0.0,9.522222,0.88,0.318652
70,1.0,0.0,7.9944440000000005,0.92,0.27321799999999996
71,1.0,0.0,8.55,0.71,0.21983000000000003
72,2.0,0.0,9.494444,0.89,0.309226
73,2.0,0.0,12.572222,0.81,0.405052
74,2.0,0.0,11.505556,0.87,0.382974
75,3.0,0.0,10.9,0.87,0.362817
76,1.0,0.0,10.927778,0.87,0.363742
77,1.0,0.0,12.022222,0.87,0.40017199999999997
78,2.0,0.0,9.927778,0.87,0.274794
79,1.0,0.0,12.455556,0.73,0.383556
80,1.0,0.0,12.044444,0.75,0.375184
81,1.0,0.0,11.916667,0.67,0.35423499999999997
82,2.0,0.0,8.861111,0.72,0.205893
83,2.0,0.0,9.038889,0.72,0.214652
84,2.0,0.0,7.883333,0.76,0.176481
85,1.0,0.0,9.95,0.72,0.243142
86,1.0,0.0,12.1,0.57,0.338147
87,1.0,0.0,11.083333,0.62,0.31959899999999997
88,1.0,0.0,11.061111,0.57,0.309114
89,1.0,0.0,10.816667,0.58,0.304208
90,2.0,0.0,9.95,0.62,0.235013
91,1.0,0.0,9.883333,0.62,0.234373
92,1.0,0.0,9.361111,0.63,0.22389099999999998
93,2.0,0.0,9.355556,0.62,0.22291799999999998
94,1.0,0.0,8.816667,0.66,0.21053000000000002
95,2.0,0.0,9.15,0.68,0.24396700000000002
96,2.0,0.0,7.711111,0.68,0.17510499999999998
97,2.0,0.0,7.2,0.71,0.167409
98,1.0,0.0,6.6,0.74,0.145052
99,1.0,0.0,6.133333,0.76,0.129576
100,1.0,0.0,6.111111,0.79,0.13098800000000002
101,1.0,0.0,7.694444,0.76,0.18004900000000001
102,1.0,0.0,9.972222,0.71,0.256778
103,1.0,0.0,12.127778,0.61,0.347558
104,1.0,0.0,12.844444000000001,0.55,0.354378
105,1.0,0.0,13.955556,0.51,0.37509699999999996
106,1.0,0.0,14.044444,0.57,0.392486
107,1.0,0.0,16.094444,0.38,0.39534400000000003
108,1.0,0.0,17.194444,0.34,0.41012200000000004
109,1.0,0.0,17.238889,0.31,0.401976
110,1.0,0.0,17.083333,0.32,0.40139
111,2.0,0.0,16.155556,0.39,0.399721
112,2.0,0.0,12.916667,0.48,0.340277
113,2.0,0.0,11.505556,0.56,0.319486
114,2.0,0.0,8.983333,0.65,0.238713
115,2.0,0.0,9.027778,0.65,0.23961
116,2.0,0.0,9.261111,0.7,0.254436
117,2.0,0.0,10.555556,0.61,0.302501
118,2.0,0.0,10.116667,0.65,0.297126
119,1.0,0.0,8.35,0.82,0.24216
120,3.0,0.0,9.583333,0.65,0.25095
121,3.0,0.0,8.477778,0.73,0.22522399999999998
122,2.0,0.0,7.216667,0.77,0.206539
123,2.0,0.0,6.322222,0.78,0.174174
124,1.0,0.0,7.366667,0.79,0.224539
125,2.0,0.0,10.977778,0.67,0.326325
126,2.0,0.0,12.244444,0.61,0.350901
127,0.0,0.0,13.816667,0.59,0.39103899999999997
128,3.0,0.0,13.022222,0.7,0.394052
129,3.0,0.0,12.333333,0.79,0.392965
130,3.0,0.0,12.705556,0.77,0.400301
131,0.0,0.0,12.416667,0.83,0.40446
132,3.0,0.0,12.2,0.86,0.403918
133,3.0,0.0,11.183333,0.92,0.382202
134,2.0,0.0,11.194444,0.92,0.382581
135,2.0,0.0,11.205556,0.93,0.384956
136,2.0,0.0,11.183333,0.92,0.382202
137,2.0,0.0,10.261111,0.92,0.350684
138,1.0,0.0,9.977778,0.93,0.313576
139,1.0,0.0,9.983333,0.89,0.302965
140,1.0,0.0,9.638889,0.92,0.294768
141,1.0,0.0,9.472222,0.89,0.283621
142,1.0,0.0,9.355556,0.86,0.274521
143,2.0,0.0,9.377778,0.89,0.31548699999999996
144,1.0,0.0,8.288889,0.83,0.231818
145,2.0,0.0,8.755556,0.83,0.256249
146,1.0,0.0,9.222222,0.85,0.268928
147,1.0,0.0,7.733333,0.95,0.23005
148,1.0,0.0,8.772222,0.89,0.257361
149,1.0,0.0,10.822222,0.82,0.350597
150,1.0,0.0,13.772222,0.72,0.42165
151,1.0,0.0,16.016667,0.67,0.47611099999999995
152,1.0,0.0,17.144444,0.54,0.46996400000000005
153,1.0,0.0,17.8,0.55,0.49110200000000004
154,1.0,0.0,17.333333,0.51,0.46588500000000005
155,1.0,0.0,18.877778,0.47,0.49395600000000006
156,1.0,0.0,18.911111,0.46,0.491462
157,1.0,0.0,15.388889,0.6,0.438276
158,2.0,0.0,15.55,0.63,0.451168
159,2.0,0.0,14.255556,0.69,0.428836
160,2.0,0.0,13.144444,0.7,0.397751
161,2.0,0.0,11.55,0.77,0.363894
162,2.0,0.0,11.183333,0.76,0.350351
163,1.0,0.0,10.116667,0.79,0.322337
164,2.0,0.0,10.2,0.77,0.321361
165,2.0,0.0,9.555556,0.8,0.29485700000000004
166,2.0,0.0,10.622222,0.79,0.338445
167,1.0,0.0,8.722222,0.93,0.299643
168,2.0,0.0,10.533333,0.77,0.331863
169,2.0,0.0,9.444444,0.83,0.295609
170,2.0,0.0,9.888889,0.83,0.31298200000000004
171,2.0,0.0,10.366667,0.78,0.328457
172,1.0,0.0,8.888889,0.89,0.271192
173,1.0,0.0,9.977778,0.84,0.310689
174,2.0,0.0,12.2,0.73,0.375687
175,2.0,0.0,13.961110999999999,0.67,0.415008
176,2.0,0.0,14.944444,0.67,0.44423900000000005
177,2.0,0.0,16.183332999999998,0.71,0.492588
178,1.0,0.0,16.366667,0.61,0.46903599999999995
179,1.0,0.0,17.372222,0.57,0.485484
180,1.0,0.0,17.672222,0.51,0.47499399999999997
181,1.0,0.0,17.722222,0.53,0.48264700000000005
182,1.0,0.0,16.238889,0.61,0.46537399999999995
183,2.0,0.0,14.066667,0.71,0.42816099999999996
184,1.0,0.0,13.955556,0.76,0.4372
185,1.0,0.0,12.288889,0.8,0.39373600000000003
186,1.0,0.0,10.022222,0.86,0.331816
187,1.0,0.0,9.377778,0.86,0.29843200000000003
188,1.0,0.0,9.416667,0.9,0.318472
189,1.0,0.0,9.216667,0.9,0.30175
190,1.0,0.0,8.683333,0.9,0.285497
191,2.0,0.0,9.188889,0.77,0.25974899999999995
192,1.0,0.0,8.594444000000001,0.93,0.28141700000000003
193,1.0,0.0,7.5055559999999995,0.93,0.257846
194,1.0,0.0,6.216667,0.95,0.18068499999999998
195,4.0,0.0,5.855556,0.93,0.20116199999999998
196,0.0,0.0,5.933333,1.0,0.211227
197,0.0,0.0,10.405555999999999,1.0,0.370438
198,1.0,0.0,12.544444,0.78,0.397458
199,1.0,0.0,13.861111,0.77,0.436708
200,1.0,0.0,15.977778,0.63,0.463579
201,1.0,0.0,17.266667,0.57,0.482534
202,1.0,0.0,17.844444,0.5,0.476447
203,1.0,0.0,16.427778,0.54,0.45031800000000005
204,1.0,0.0,17.777778,0.46,0.462009
205,1.0,0.0,17.844444,0.45,0.46056499999999995
206,1.0,0.0,17.3,0.5,0.46191000000000004
207,1.0,0.0,15.183333,0.65,0.445934
208,2.0,0.0,13.005556,0.7,0.393548
