,1,2,3,4,5
0,3,0,106.288889,0.86,0.182922
1,2,0,106.238889,0.86,0.193314
2,2,0,105.772222,0.92,0.174108
3,2,0,105.1,0.93,0.137702
4,1,0,105.1,0.86,0.139054
5,0,0,107.255556,0.86,0.212535
6,0,0,111.188889,0.76,0.350526
7,0,0,113.938889,0.64,0.406904
8,1,0,115.988889,0.6,0.455364
9,1,0,117.25,0.54,0.472857
10,1,0,117.777778,0.52,0.480996
11,1,0,118.833333,0.46,0.489441
12,1,0,117.827778,0.49,0.472828
13,0,0,118.888889,0.43,0.480798
14,3,0,117.827778,0.45,0.460135
15,3,0,117.172222,0.52,0.464612
16,3,0,116.061111,0.56,0.445985
17,3,0,114.138889,0.62,0.407709
18,3,0,112.75,0.72,0.390354
19,3,0,112.25,0.8,0.39249
20,3,0,111.927778,0.81,0.384289
21,2,0,111.227778,0.85,0.369731
22,0,0,110.1,0.92,0.345178
23,1,0,110.572222,0.78,0.33497
24,0,0,108.988889,0.88,0.275985
25,0,0,107.25,0.86,0.216306
26,1,0,106.911111,0.93,0.201257
27,1,0,106.161111,0.93,0.183603
28,2,0,108.888889,0.83,0.264392
29,2,0,110.777778,0.81,0.347238
30,1,0,114.866667,0.67,0.441927
31,1,0,117.172222,0.58,0.482952
32,1,0,117.683333,0.59,0.500474
33,1,0,118.961111,0.6,0.540012
34,2,0,120,0.52,0.54112
35,2,0,120.861111,0.52,0.564418
36,2,0,121.183333,0.48,0.558054
37,1,0,121.155556,0.42,0.534728
38,1,0,121.083333,0.44,0.540408
39,1,0,117.983333,0.55,0.49616
40,1,0,114.255556,0.7,0.431373
41,1,0,114.311111,0.69,0.430507
42,1,0,112.85,0.76,0.402565
43,1,0,112.8,0.73,0.394163
44,1,0,111.55,0.79,0.368006
45,1,0,110.277778,0.82,0.332959
46,0,0,112.222222,0.74,0.378547
47,2,0,109.738889,0.88,0.315305
48,1,0,109.605556,0.85,0.282741
49,2,0,109.627778,0.82,0.300833
50,2,0,108.766667,0.88,0.27961
51,2,0,108.905556,0.83,0.261225
52,2,0,109.905556,0.83,0.297419
53,2,0,110.972222,0.81,0.353503
54,2,0,112.85,0.77,0.404852
55,2,0,115.094444,0.71,0.459445
56,2,0,117.583333,0.57,0.491384
57,3,0,118.816667,0.52,0.509104
58,3,0,118.861111,0.52,0.510306
59,3,0,118.916667,0.51,0.508442
60,3,0,118.905556,0.48,0.498048
61,3,0,117.955556,0.51,0.482609
62,2,0,118.966667,0.52,0.513162
63,2,0,117.961111,0.59,0.508335
64,2,0,116.316667,0.61,0.467603
65,1,0,114.322222,0.71,0.43594
66,1,0,113.938889,0.71,0.424272
67,1,0,112.272222,0.76,0.384464
68,1,0,112.066667,0.78,0.38232
69,1,0,109.522222,0.88,0.318652
70,1,0,107.994444,0.92,0.273218
71,1,0,108.55,0.71,0.21983
72,2,0,109.494444,0.89,0.309226
73,2,0,112.572222,0.81,0.405052
74,2,0,111.505556,0.87,0.382974
75,3,0,110.9,0.87,0.362817
76,1,0,110.927778,0.87,0.363742
77,1,0,112.022222,0.87,0.400172
78,2,0,109.927778,0.87,0.274794
79,1,0,112.455556,0.73,0.383556
80,1,0,112.044444,0.75,0.375184
81,1,0,111.916667,0.67,0.354235
82,2,0,108.861111,0.72,0.205893
83,2,0,109.038889,0.72,0.214652
84,2,0,107.883333,0.76,0.176481
85,1,0,109.95,0.72,0.243142
86,1,0,112.1,0.57,0.338147
87,1,0,111.083333,0.62,0.319599
88,1,0,111.061111,0.57,0.309114
89,1,0,110.816667,0.58,0.304208
90,2,0,109.95,0.62,0.235013
91,1,0,109.883333,0.62,0.234373
92,1,0,109.361111,0.63,0.223891
93,2,0,109.355556,0.62,0.222918
94,1,0,108.816667,0.66,0.21053
95,2,0,109.15,0.68,0.243967
96,2,0,107.711111,0.68,0.175105
97,2,0,107.2,0.71,0.167409
98,1,0,106.6,0.74,0.145052
99,1,0,106.133333,0.76,0.129576
100,1,0,106.111111,0.79,0.130988
101,1,0,107.694444,0.76,0.180049
102,1,0,109.972222,0.71,0.256778
103,1,0,112.127778,0.61,0.347558
104,1,0,112.844444,0.55,0.354378
105,1,0,113.955556,0.51,0.375097
106,1,0,114.044444,0.57,0.392486
107,1,0,116.094444,0.38,0.395344
108,1,0,117.194444,0.34,0.410122
109,1,0,117.238889,0.31,0.401976
110,1,0,117.083333,0.32,0.40139
111,2,0,116.155556,0.39,0.399721
112,2,0,112.916667,0.48,0.340277
113,2,0,111.505556,0.56,0.319486
114,2,0,108.983333,0.65,0.238713
115,2,0,109.027778,0.65,0.23961
116,2,0,109.261111,0.7,0.254436
117,2,0,110.555556,0.61,0.302501
118,2,0,110.116667,0.65,0.297126
119,1,0,108.35,0.82,0.24216
120,3,0,109.583333,0.65,0.25095
121,3,0,108.477778,0.73,0.225224
122,2,0,107.216667,0.77,0.206539
123,2,0,106.322222,0.78,0.174174
124,1,0,107.366667,0.79,0.224539
125,2,0,110.977778,0.67,0.326325
126,2,0,112.244444,0.61,0.350901
127,0,0,113.816667,0.59,0.391039
128,3,0,113.022222,0.7,0.394052
129,3,0,112.333333,0.79,0.392965
130,3,0,112.705556,0.77,0.400301
131,0,0,112.416667,0.83,0.40446
132,3,0,112.2,0.86,0.403918
133,3,0,111.183333,0.92,0.382202
134,2,0,111.194444,0.92,0.382581
135,2,0,111.205556,0.93,0.384956
136,2,0,111.183333,0.92,0.382202
137,2,0,110.261111,0.92,0.350684
138,1,0,109.977778,0.93,0.313576
139,1,0,109.983333,0.89,0.302965
140,1,0,109.638889,0.92,0.294768
141,1,0,109.472222,0.89,0.283621
142,1,0,109.355556,0.86,0.274521
143,2,0,109.377778,0.89,0.315487
144,1,0,108.288889,0.83,0.231818
145,2,0,108.755556,0.83,0.256249
146,1,0,109.222222,0.85,0.268928
147,1,0,107.733333,0.95,0.23005
148,1,0,108.772222,0.89,0.257361
149,1,0,110.822222,0.82,0.350597
150,1,0,113.772222,0.72,0.42165
151,1,0,116.016667,0.67,0.476111
152,1,0,117.144444,0.54,0.469964
153,1,0,117.8,0.55,0.491102
154,1,0,117.333333,0.51,0.465885
155,1,0,118.877778,0.47,0.493956
156,1,0,118.911111,0.46,0.491462
157,1,0,115.388889,0.6,0.438276
158,2,0,115.55,0.63,0.451168
159,2,0,114.255556,0.69,0.428836
160,2,0,113.144444,0.7,0.397751
161,2,0,111.55,0.77,0.363894
162,2,0,111.183333,0.76,0.350351
163,1,0,110.116667,0.79,0.322337
164,2,0,110.2,0.77,0.321361
165,2,0,109.555556,0.8,0.294857
166,2,0,110.622222,0.79,0.338445
167,1,0,108.722222,0.93,0.299643
168,2,0,110.533333,0.77,0.331863
169,2,0,109.444444,0.83,0.295609
170,2,0,109.888889,0.83,0.312982
171,2,0,110.366667,0.78,0.328457
172,1,0,108.888889,0.89,0.271192
173,1,0,109.977778,0.84,0.310689
174,2,0,112.2,0.73,0.375687
175,2,0,113.961111,0.67,0.415008
176,2,0,114.944444,0.67,0.444239
177,2,0,116.183333,0.71,0.492588
178,1,0,116.366667,0.61,0.469036
179,1,0,117.372222,0.57,0.485484
180,1,0,117.672222,0.51,0.474994
181,1,0,117.722222,0.53,0.482647
182,1,0,116.238889,0.61,0.465374
183,2,0,114.066667,0.71,0.428161
184,1,0,113.955556,0.76,0.4372
185,1,0,112.288889,0.8,0.393736
186,1,0,110.022222,0.86,0.331816
187,1,0,109.377778,0.86,0.298432
188,1,0,109.416667,0.9,0.318472
